Field Path,Type(s),Files Present,Total Occurrences,Null Count,Null %,Is List,List Info,Sample Values
data.content.lineup.awayTeam.subs,list(9),9,9,0,0.0%,Yes,"min:7, max:9, avg:8.3",N/A
data.content.lineup.awayTeam.subs[0],dict(9),9,9,0,0.0%,No,,N/A
data.content.lineup.awayTeam.subs[0].age,int(9),9,9,0,0.0%,No,,"[21, 22, 20]"
data.content.lineup.awayTeam.subs[0].countryCode,str(9),9,9,0,0.0%,No,,"['FIN', 'USA', 'NGA']"
data.content.lineup.awayTeam.subs[0].countryName,str(9),9,9,0,0.0%,No,,"['Finland', 'USA', 'Nigeria']"
data.content.lineup.awayTeam.subs[0].firstName,str(9),9,9,0,0.0%,No,,"['Sofia', 'Simone', 'Deborah']"
data.content.lineup.awayTeam.subs[0].id,int(9),9,9,0,0.0%,No,,"[1202128, 1776132, 1402028]"
data.content.lineup.awayTeam.subs[0].lastName,str(9),9,9,0,0.0%,No,,"['Määttä', 'Jackson', 'Abiodun']"
data.content.lineup.awayTeam.subs[0].marketValue,int(2),2,2,0,0.0%,No,,"[394619, 96943]"
data.content.lineup.awayTeam.subs[0].name,str(9),9,9,0,0.0%,No,,"['Sofia Määttä', 'Simone Jackson', 'Deborah Abiodun']"
data.content.lineup.awayTeam.subs[0].optaId,str(6),6,6,0,0.0%,No,,"['34', '2', '12']"
data.content.lineup.awayTeam.subs[0].performance,dict(9),9,9,0,0.0%,No,,N/A
